symbol	encoding	message
buffer_last_error_details	flatbuffer	ErrorDetails
lockbox_get_file	raw	bytes
lockbox_stream_content	flatbuffer	StreamChunkList
lockbox_cache_stats	flatbuffer	CacheStats
lockbox_import_stats	flatbuffer	ImportStats
lockbox_inspect_file	flatbuffer	FileInspection
lockbox_page_inspection	flatbuffer	PageInspectionList
lockbox_recovery_report	flatbuffer	RecoveryReport
lockbox_recovery_report_render	raw	utf8
lockbox_recovery_scan_path	flatbuffer	RecoveryReport
lockbox_runtime_options	flatbuffer	RuntimeOptions
lockbox_list	flatbuffer	LockboxEntryList
lockbox_list_with_options	flatbuffer	LockboxEntryList
lockbox_stat	flatbuffer	OptionalLockboxEntry
lockbox_get_variable	flatbuffer	OptionalString
lockbox_list_variables	flatbuffer	VariableList
lockbox_variable_sensitivity	flatbuffer	OptionalString
lockbox_get_symlink_target	raw	utf8
lockbox_id	raw	bytes
lockbox_read_range	raw	bytes
lockbox_recovery_scan	flatbuffer	RecoveryReport
lockbox_list_key_slots	flatbuffer	KeySlotList
lockbox_owner_inspection	flatbuffer	OwnerInspection
lockbox_define_form	flatbuffer	FormDefinition
lockbox_list_form_definitions	flatbuffer	FormDefinitionList
lockbox_resolve_form	flatbuffer	FormDefinition
lockbox_list_form_revisions	flatbuffer	FormDefinitionList
lockbox_create_form_record	flatbuffer	FormRecord
lockbox_list_form_records	flatbuffer	FormRecordList
lockbox_get_form_record	flatbuffer	OptionalFormRecord
lockbox_get_form_field	flatbuffer	OptionalFormValue
lockbox_to_bytes	raw	bytes
key_contact_public	raw	bytes
key_contact_private	raw	bytes
key_contact_decrypt	raw	bytes
key_contact_wrapped_public	raw	bytes
key_contact_wrapped_ciphertext	raw	bytes
key_contact_wrapped_encrypted	raw	bytes
key_signing_public	raw	bytes
key_signing_private	raw	bytes
vault_key_export_private	raw	bytes
vault_key_export_public	raw	bytes
vault_key_fingerprint	raw	bytes
vault_key_format_hex	raw	utf8
vault_key_decode_hex	raw	bytes
vault_key_format_crockford	raw	utf8
vault_key_format_crockford_reading	raw	utf8
vault_key_decode_crockford	raw	bytes
vault_key_hex_encode	raw	utf8
vault_key_hex_decode	raw	bytes
vault_directory_root	raw	utf8
vault_directory_list_private_keys	flatbuffer	StringList
vault_directory_list_private_key_names	flatbuffer	StringList
vault_directory_list_contact_names	flatbuffer	StringList
vault_directory_list_form_aliases	flatbuffer	StringList
vault_directory_list_contacts	flatbuffer	ContactList
vault_directory_profile_email	flatbuffer	OptionalString
vault_directory_load_backup	raw	bytes
vault_directory_list_profile_generations	flatbuffer	ProfileHistory
vault_directory_rotate_private_key	flatbuffer	ProfileHistory
vault_directory_list_known_lockboxes	flatbuffer	KnownLockboxList
vault_directory_list_access_slot_labels	flatbuffer	AccessSlotLabelList
vault_directory_find_access_slot_labels	flatbuffer	AccessSlotLabelList
vault_directory_define_form	flatbuffer	FormDefinition
vault_directory_resolve_form	flatbuffer	FormDefinition
vault_directory_list_forms	flatbuffer	FormDefinitionList
vault_directory_list_form_revisions	flatbuffer	FormDefinitionList
vault_directory_remembered_password	raw	bytes
vault_backup_default	flatbuffer	VaultBackupManifest
vault_restore_default	flatbuffer	VaultBackupManifest
vault_agent_get	raw	bytes
vault_agent_list	flatbuffer	AgentEntryList
vault_agent_sleep_support	flatbuffer	SleepSupport
vault_platform_status	flatbuffer	PlatformStatus
vault_platform_get_password	raw	bytes
vault_default_directory	raw	utf8
vault_default_path	raw	utf8
vault_agent_log_path	raw	utf8
vault_agent_log_destination	raw	utf8
vault_read_only_list_profile_names	flatbuffer	StringList
vault_read_only_list_contact_names	flatbuffer	StringList
vault_read_only_list_form_aliases	flatbuffer	StringList
vault_read_only_list_known_lockboxes	flatbuffer	KnownLockboxList
vault_agent_get_vault_unlock_key	raw	bytes
